"text","retweet","favorite","date","sentiment","post_id","user_id"
"alternativlos, die alte leier. auf kosten der sicherheit des westens. nie wieder alternativlos!",0,0,2024-11-28,"negative",1,1
"mit sicherheit.",0,1,2024-11-28,"neutral",2,2
"dieser setzt vorhandene wertpapiere als sicherheit voraus. man bekommt ihn nicht zur anschaffung neuer wertpapiere ohne sonstige sicherheiten. bei immobilien brauchst du keine sonstigen sicherheiten sondern trägst beim kauf einfach eine grundschuld ein.",0,0,2024-11-28,"neutral",3,3
"mit sicherheit gesünder.",0,1,2024-11-28,"positive",4,4
"nimm den wind aus deinen segeln es wird alles gut, nichts wird dich davon abhalten weiter zu atmen und dein ding zu machen. da wurde bloß ein stein in deinen weg gelegt und auch wenn er groß ist ist es mit sicherheit nicht der erste und du wirst auch diesen überwinden!",0,0,2024-11-28,"neutral",5,5
"im augenblick spricht dieser kellogg aber vom einfrieren des konflikts ... das ist mit sicherheit nicht im interesse der ukrainer ...",0,0,2024-11-28,"negative",6,6
"es zwingt einen niemand hier zu leben... zu behaupten dieses land ist im arsch ist dagegen schlichtweg kindisch und nicht hilfreich. ungeachtet dessen, dass der sicherheitsappart aufgerufen ist für sicherheit zu sorgen.",0,0,2024-11-28,"negative",7,7
"die bevorzugte regierungshandlung von faeser ist schwafeln und nicht handeln. ein solch hohes maß an leistungsverweigerung in einem ministerium ist unverschämt. dies alles zu lasten deutscher bürger, deren sicherheit und zu lasten der demokratie. wer wählt sowas?",0,0,2024-11-28,"negative",8,8
"sicherheit für frauen sieht also bei euch so aus, dass männer die sich für frauen halten mit auf die damentoilette dürfen?",0,0,2024-11-28,"neutral",9,9
"ohne sicherheit vor russland ist alles nichts!",0,0,2024-11-28,"negative",10,10
"warnungen sind billiger als sicherheit schaffen. das geld wird ja für den kampf gegen rechts gebraucht. wie wäre es denn mit einem kampf gegen illegale migration? ich vermute, der würde mit blick auf die statistik die sicherheit wesentlich stärker erhöhen.",0,0,2024-11-28,"negative",11,11
